sale_id,sale_date,store_id,product_id,quantity
ON-844097,27-04-2023,ST-58,P-75,9
LI-2976,19-10-2021,ST-15,P-70,1
MH-4544,14-12-2020,ST-17,P-85,4
PB-42031,29-04-2021,ST-30,P-86,2
IH-84742,16-09-2023,ST-37,P-8,5
ST-858014,10-04-2021,ST-12,P-48,7
KQ-4841,01-06-2023,ST-10,P-62,1
XF-36353,01-05-2020,ST-35,P-36,8
FG-723287,04-02-2021,ST-53,P-34,5
LX-2157,09-11-2021,ST-17,P-18,6
OH-6728,13-02-2020,ST-11,P-35,5
VU-9557,01-03-2021,ST-62,P-45,5
BB-92466,18-05-2023,ST-2,P-65,3
KO-05309,03-01-2024,ST-13,P-56,3
TA-564151,09-09-2021,ST-57,P-9,2
TU-29826,24-12-2021,ST-74,P-65,8
VY-530846,14-07-2021,ST-18,P-65,2
TF-6357,21-07-2022,ST-23,P-65,2
IN-130446,22-09-2021,ST-12,P-29,2
JO-976120,13-03-2024,ST-22,P-87,4
IJ-3465,03-02-2020,ST-14,P-1,9
LX-0576,29-04-2022,ST-37,P-84,1
RG-23713,14-02-2023,ST-55,P-72,1
VZ-26445,19-05-2020,ST-9,P-89,5
KR-92510,05-03-2023,ST-35,P-72,7
AL-8327,04-08-2023,ST-38,P-40,5
VO-05923,25-12-2020,ST-15,P-10,3
PT-908143,21-08-2020,ST-68,P-11,1
PT-48443,13-01-2022,ST-46,P-4,5
TG-064477,31-12-2021,ST-72,P-62,4
YH-50616,26-01-2021,ST-9,P-26,8
UA-25397,04-02-2023,ST-2,P-52,2
CH-892573,03-01-2023,ST-12,P-87,5
EX-033170,12-08-2024,ST-3,P-39,6
DO-6937,12-01-2024,ST-75,P-28,3
EP-109187,11-04-2021,ST-19,P-86,4
BM-6446,19-09-2020,ST-75,P-49,7
SY-8929,07-12-2021,ST-35,P-16,1
WO-030255,08-05-2020,ST-14,P-79,10
KL-248197,21-08-2020,ST-12,P-70,1
OR-24848,11-05-2024,ST-57,P-24,5
PH-5617,08-06-2024,ST-66,P-44,4
SK-451030,22-03-2023,ST-69,P-80,10
OB-25206,08-02-2024,ST-63,P-7,2
UN-225913,14-06-2020,ST-41,P-73,3
EY-3852,02-11-2020,ST-18,P-9,4
KI-569929,22-08-2020,ST-10,P-22,1
JU-173309,15-06-2023,ST-52,P-15,7
GV-0237,24-07-2023,ST-25,P-33,4
SG-4963,09-09-2021,ST-51,P-39,4
AS-84229,21-12-2022,ST-57,P-3,3
MD-44259,14-12-2021,ST-60,P-66,4
VK-64427,10-12-2022,ST-73,P-89,5
OF-4940,07-10-2021,ST-75,P-19,9
RB-3397,10-05-2023,ST-27,P-42,4
FP-2361,28-01-2021,ST-72,P-43,2
NP-54333,01-05-2024,ST-49,P-10,10
FS-51849,01-06-2024,ST-7,P-65,4
JO-87695,24-04-2022,ST-65,P-79,7
TE-346279,11-06-2023,ST-34,P-63,10
BI-86264,13-03-2022,ST-26,P-61,7
SC-08419,04-01-2022,ST-5,P-29,8
JG-7584,15-04-2020,ST-47,P-1,8
YS-740247,25-11-2020,ST-35,P-44,3
UI-2058,13-10-2023,ST-30,P-59,1
OH-6924,08-09-2024,ST-25,P-68,9
JA-4618,18-03-2023,ST-18,P-23,2
EG-855062,29-10-2023,ST-30,P-23,3
QD-76769,14-04-2020,ST-52,P-37,9
GO-244253,01-03-2023,ST-42,P-8,8
DO-904236,22-10-2023,ST-60,P-31,4
IE-72975,24-05-2023,ST-40,P-74,4
SM-564205,21-05-2020,ST-42,P-5,6
CL-724642,08-03-2022,ST-29,P-39,10
AA-688022,30-04-2021,ST-53,P-37,9
FP-3542,26-03-2022,ST-43,P-27,7
FM-2360,13-06-2024,ST-40,P-30,8
DD-1623,02-06-2024,ST-17,P-13,8
WY-4970,06-05-2021,ST-39,P-19,8
UR-29462,18-04-2021,ST-28,P-31,9
TP-53362,12-10-2024,ST-20,P-54,6
EF-5569,17-03-2021,ST-73,P-46,7
DF-63601,15-12-2023,ST-21,P-72,5
FC-188744,14-06-2023,ST-17,P-10,3
TT-326497,14-02-2020,ST-68,P-89,8
FK-531992,15-10-2020,ST-31,P-29,8
ZJ-330355,01-08-2022,ST-62,P-32,6
GO-2929,23-10-2020,ST-56,P-47,2
FT-884898,23-08-2020,ST-6,P-51,9
MY-3827,16-07-2021,ST-25,P-62,7
LH-479546,16-05-2023,ST-10,P-51,6
XL-3238,22-04-2023,ST-66,P-56,4
PW-35181,20-06-2020,ST-20,P-19,8
AW-97582,30-06-2022,ST-9,P-11,5
CV-622566,26-11-2021,ST-43,P-18,4
SR-951501,14-12-2020,ST-37,P-74,4
EF-260584,19-12-2023,ST-45,P-88,8
CA-333698,19-02-2020,ST-5,P-52,1
XR-8209,20-11-2022,ST-44,P-35,1
MW-116773,05-07-2023,ST-4,P-48,6
QQ-962611,30-01-2021,ST-59,P-21,10
KS-5179,29-03-2024,ST-23,P-57,3
JH-766072,29-08-2022,ST-18,P-85,5
RE-066686,24-01-2022,ST-28,P-82,6
QV-37643,30-11-2020,ST-71,P-89,7
AS-4779,16-07-2021,ST-27,P-47,5
XQ-416257,21-11-2023,ST-60,P-31,4
IP-19866,12-12-2023,ST-54,P-35,4
AF-031503,12-09-2024,ST-36,P-15,1
IX-923846,30-08-2024,ST-54,P-47,10
WG-9361,05-01-2023,ST-62,P-75,9
LX-653256,26-12-2021,ST-47,P-79,4
HU-95066,07-03-2024,ST-21,P-11,3
BO-108768,12-01-2023,ST-45,P-27,5
MF-222643,14-10-2024,ST-62,P-10,3
UV-4813,22-04-2023,ST-44,P-64,9
LW-53057,23-12-2023,ST-36,P-39,10
GA-90169,24-01-2020,ST-40,P-80,7
CW-7359,30-07-2023,ST-11,P-16,4
ML-204049,11-06-2022,ST-48,P-15,10
FT-05972,23-09-2020,ST-10,P-37,8
SB-951492,02-06-2021,ST-58,P-23,10
FY-1664,12-10-2021,ST-47,P-51,10
ET-84384,13-10-2021,ST-46,P-56,8
CH-884404,01-10-2023,ST-40,P-75,10
CT-60964,14-10-2023,ST-34,P-20,8
OW-678427,04-02-2021,ST-55,P-1,7
XK-49631,12-09-2020,ST-19,P-71,8
PT-72639,18-11-2020,ST-24,P-34,7
FM-47543,11-04-2023,ST-19,P-5,4
BW-2482,21-04-2023,ST-65,P-37,9
NP-017185,01-07-2020,ST-62,P-42,7
ME-434140,19-10-2021,ST-13,P-60,2
SP-332420,11-07-2021,ST-28,P-37,4
QL-509420,25-06-2020,ST-35,P-79,8
GF-8725,02-02-2020,ST-62,P-7,5
YE-621793,04-04-2020,ST-26,P-12,1
CG-394280,24-08-2022,ST-34,P-65,9
ZN-3847,11-12-2023,ST-20,P-10,10
VR-11557,09-08-2020,ST-69,P-48,2
BK-9822,30-01-2021,ST-27,P-31,8
RF-30502,29-01-2023,ST-65,P-15,6
WU-30313,14-02-2024,ST-25,P-44,2
VN-10685,07-04-2024,ST-1,P-87,10
NW-7699,08-05-2023,ST-60,P-26,8
GT-834823,05-11-2022,ST-9,P-56,4
IO-777142,29-12-2023,ST-47,P-15,10
RI-678740,11-06-2020,ST-34,P-58,9
EQ-960871,24-08-2023,ST-14,P-79,6
PI-721912,14-09-2022,ST-58,P-37,8
ZF-1126,01-03-2023,ST-42,P-26,5
WU-46462,20-06-2021,ST-3,P-85,3
SQ-80705,02-05-2020,ST-52,P-13,8
NH-401216,01-07-2020,ST-9,P-40,7
VK-4524,17-02-2021,ST-22,P-44,9
RI-070666,14-02-2024,ST-36,P-72,7
JS-611425,15-06-2020,ST-24,P-12,4
ZE-3462,01-04-2020,ST-70,P-1,10
XR-9819,25-03-2023,ST-37,P-71,9
RE-353214,07-02-2020,ST-17,P-47,1
TO-5181,12-11-2020,ST-42,P-81,2
IY-4740,01-09-2020,ST-12,P-36,4
SW-0502,01-06-2024,ST-56,P-41,6
JF-35258,31-05-2022,ST-43,P-69,2
HU-46099,10-10-2022,ST-39,P-31,5
TC-35709,25-08-2020,ST-9,P-85,3
SU-4388,20-10-2022,ST-70,P-18,4
LR-85112,22-09-2023,ST-7,P-74,4
KQ-6766,26-06-2022,ST-27,P-83,9
NT-616636,21-12-2020,ST-72,P-38,8
CI-274378,24-04-2022,ST-5,P-28,6
US-794342,27-10-2024,ST-22,P-66,1
LY-16879,16-04-2024,ST-18,P-15,4
XO-42467,10-12-2023,ST-64,P-82,9
DY-726411,10-06-2022,ST-33,P-62,1
GB-299489,27-09-2023,ST-47,P-78,5
IG-4140,23-08-2021,ST-13,P-25,1
SX-1884,27-01-2024,ST-46,P-26,10
NT-25997,09-01-2020,ST-1,P-86,5
TY-75087,05-09-2021,ST-54,P-75,1
XG-4465,03-07-2021,ST-5,P-80,1
OD-234049,06-07-2020,ST-48,P-77,2
FN-209218,01-08-2023,ST-69,P-14,6
TV-83434,24-08-2024,ST-36,P-58,2
TH-38649,23-04-2024,ST-16,P-25,4
EZ-5383,13-09-2021,ST-45,P-47,5
MU-66320,23-08-2020,ST-11,P-53,10
LI-3467,20-04-2022,ST-24,P-36,5
EE-997721,01-06-2024,ST-26,P-39,5
GP-091887,29-12-2022,ST-55,P-72,4
XF-62199,22-01-2023,ST-62,P-30,4
YM-539451,09-11-2024,ST-10,P-61,10
HH-577360,14-03-2021,ST-44,P-82,9
NY-99177,04-12-2020,ST-38,P-29,3
AA-127809,13-03-2020,ST-23,P-62,6
QO-44992,04-02-2024,ST-5,P-83,9
FI-771657,16-06-2021,ST-35,P-47,4
RW-027809,27-05-2021,ST-8,P-47,10
ZN-8423,11-07-2024,ST-55,P-73,8
YO-675290,05-11-2020,ST-75,P-29,7
TQ-8985,13-10-2024,ST-51,P-31,5
JV-25413,30-10-2021,ST-51,P-74,2
DE-057677,24-11-2021,ST-14,P-53,10
ZA-949091,19-02-2024,ST-18,P-75,9
FA-9296,19-05-2022,ST-12,P-44,9
JI-6425,16-11-2023,ST-63,P-16,6
OJ-4503,25-06-2024,ST-70,P-31,1
OY-500829,12-09-2022,ST-30,P-46,9
IO-16870,27-03-2024,ST-20,P-63,9
BL-64002,18-07-2022,ST-50,P-2,6
AR-32158,26-10-2020,ST-46,P-28,4
XN-8931,07-02-2023,ST-12,P-41,7
WP-607561,19-06-2021,ST-14,P-25,1
JW-21619,11-04-2024,ST-4,P-9,8
TU-8269,08-07-2020,ST-46,P-74,6
AC-52830,02-05-2022,ST-37,P-18,1
KO-578827,20-08-2022,ST-15,P-44,8
WQ-0704,31-08-2020,ST-31,P-66,2
NG-5184,29-04-2021,ST-14,P-17,4
JU-005465,01-11-2024,ST-15,P-81,10
JB-0789,06-02-2024,ST-17,P-10,7
MK-443383,01-11-2022,ST-70,P-82,1
AG-16848,07-03-2023,ST-51,P-33,7
JQ-136838,02-12-2023,ST-12,P-76,9
MO-86241,07-06-2022,ST-8,P-4,4
ZU-8566,25-12-2020,ST-17,P-89,8
XE-05230,09-04-2020,ST-51,P-3,9
UE-449641,24-02-2020,ST-15,P-3,6
KG-72449,27-05-2021,ST-57,P-27,9
XW-59353,19-05-2021,ST-54,P-53,3
VT-906008,23-05-2020,ST-12,P-72,4
NJ-6131,06-11-2024,ST-66,P-25,6
CC-4854,21-02-2020,ST-19,P-12,7
FL-53889,12-05-2022,ST-37,P-48,9
EC-7372,17-05-2022,ST-46,P-64,8
GG-9154,06-07-2022,ST-53,P-16,6
KO-82925,21-03-2023,ST-27,P-22,10
LL-386778,04-08-2023,ST-6,P-55,1
PI-80211,01-05-2023,ST-36,P-22,1
EA-113831,11-12-2023,ST-60,P-87,6
TM-6242,07-03-2023,ST-74,P-75,10
BS-31128,05-03-2024,ST-18,P-48,9
LS-4599,06-10-2024,ST-36,P-89,7
AO-5729,25-12-2021,ST-28,P-48,10
CE-42140,13-11-2022,ST-45,P-6,4
IO-45709,14-05-2020,ST-43,P-6,9
PZ-73639,20-05-2023,ST-34,P-59,6
TP-601055,03-08-2021,ST-34,P-37,10
EH-5031,16-06-2022,ST-24,P-89,10
LW-5448,03-03-2021,ST-56,P-45,1
SJ-49439,12-12-2020,ST-44,P-18,6
KQ-670706,11-06-2021,ST-44,P-4,1
KS-2455,06-02-2020,ST-37,P-15,4
KU-094089,13-08-2021,ST-49,P-38,1
RU-1135,29-05-2023,ST-38,P-25,1
AW-4196,28-04-2021,ST-66,P-14,9
QL-342841,08-04-2020,ST-72,P-71,7
DK-26698,15-02-2020,ST-54,P-11,5
RT-06074,13-02-2024,ST-21,P-51,1
VG-92557,05-09-2021,ST-6,P-68,7
IC-92733,15-05-2022,ST-6,P-24,3
LT-76688,13-12-2021,ST-9,P-37,4
SA-604002,02-04-2022,ST-64,P-88,1
CV-05205,13-06-2022,ST-44,P-76,10
PZ-33232,15-09-2021,ST-4,P-48,10
IS-45181,10-12-2020,ST-19,P-82,9
NY-9164,24-05-2024,ST-65,P-67,3
FX-3177,12-06-2023,ST-6,P-76,9
FO-96880,24-04-2024,ST-42,P-62,8
KS-9233,07-07-2021,ST-9,P-41,3
YW-5683,31-10-2021,ST-55,P-3,8
MY-39744,17-07-2022,ST-25,P-87,5
ZB-14374,08-03-2022,ST-60,P-39,7
KD-54486,18-12-2023,ST-73,P-40,6
BG-067962,19-06-2020,ST-21,P-75,7
KE-5816,11-05-2021,ST-62,P-49,6
WY-8538,12-10-2023,ST-16,P-23,8
RM-956155,27-08-2023,ST-69,P-58,7
BC-4215,12-11-2022,ST-53,P-19,7
KL-19601,01-10-2021,ST-35,P-78,8
EI-075469,25-05-2024,ST-36,P-4,5
UX-193970,27-05-2020,ST-23,P-24,3
HQ-481029,20-07-2020,ST-52,P-41,5
SW-263964,07-07-2022,ST-31,P-10,2
DF-13391,20-04-2020,ST-10,P-68,5
EG-277273,09-02-2024,ST-40,P-40,5
SN-41876,22-01-2021,ST-67,P-13,5
UB-909050,21-06-2020,ST-66,P-60,1
JL-44834,24-04-2024,ST-3,P-42,5
GA-32034,13-09-2022,ST-48,P-39,3
FX-58386,01-08-2022,ST-20,P-46,9
JZ-7796,10-04-2024,ST-19,P-74,7
YA-379407,25-03-2021,ST-20,P-19,7
TY-5788,10-09-2021,ST-18,P-48,5
YY-242585,11-03-2024,ST-50,P-62,5
SS-7343,10-05-2020,ST-58,P-3,3
EJ-8256,24-03-2020,ST-66,P-51,9
XM-78609,17-11-2020,ST-41,P-86,7
ZE-2654,27-05-2021,ST-52,P-9,9
AU-5115,21-09-2024,ST-9,P-56,6
WI-071978,08-08-2021,ST-57,P-27,3
PP-9253,27-06-2022,ST-33,P-62,5
RD-16274,26-02-2020,ST-71,P-14,6
IQ-13574,25-01-2020,ST-60,P-61,6
RU-694944,27-05-2022,ST-10,P-7,4
KT-55371,12-07-2023,ST-67,P-13,2
ZF-543708,14-01-2022,ST-55,P-12,10
AM-37345,20-04-2020,ST-31,P-85,9
LA-1051,14-05-2024,ST-40,P-3,7
LA-332108,26-04-2022,ST-64,P-58,8
TB-42346,26-09-2020,ST-22,P-59,10
PV-1868,30-04-2021,ST-26,P-49,9
ZR-177635,13-12-2020,ST-45,P-69,7
LS-6043,08-02-2023,ST-36,P-59,9
RB-74036,28-06-2024,ST-5,P-7,10
PH-489275,29-01-2020,ST-31,P-73,5
NA-2800,21-10-2024,ST-75,P-63,1
EX-30622,12-02-2021,ST-3,P-50,1
DX-220706,16-10-2022,ST-52,P-5,9
MT-4749,22-09-2024,ST-50,P-62,7
AL-80407,02-10-2022,ST-57,P-77,5
IK-86800,03-06-2023,ST-14,P-70,8
SH-219859,11-07-2020,ST-36,P-6,10
AD-181387,21-05-2023,ST-58,P-82,3
MQ-50998,10-05-2023,ST-74,P-47,3
DP-2504,28-06-2022,ST-55,P-15,5
HZ-130042,16-06-2022,ST-22,P-15,5
QK-77558,21-06-2023,ST-11,P-81,6
DD-048895,11-01-2023,ST-21,P-54,3
FM-661378,04-01-2024,ST-9,P-10,7
EU-200704,29-06-2020,ST-8,P-7,6
GX-435540,02-01-2024,ST-61,P-14,10
FZ-8860,06-07-2020,ST-2,P-88,4
VY-6071,06-11-2020,ST-53,P-3,8
MM-87867,18-08-2023,ST-61,P-71,9
KO-57437,01-02-2021,ST-55,P-46,7
IZ-8634,04-05-2021,ST-30,P-57,2
PB-83385,25-10-2024,ST-66,P-62,8
OK-274095,05-03-2022,ST-49,P-64,5
PY-74893,22-08-2021,ST-40,P-24,5
PR-49385,15-01-2020,ST-72,P-56,10
XZ-52156,01-08-2022,ST-29,P-14,5
TV-0381,20-01-2023,ST-60,P-54,10
RE-11102,05-05-2020,ST-45,P-31,9
YZ-040988,04-04-2024,ST-9,P-19,4
UY-029024,04-04-2022,ST-43,P-72,6
IE-6850,25-03-2022,ST-55,P-45,9
JW-187060,10-08-2021,ST-22,P-51,10
AU-5696,21-06-2022,ST-4,P-24,3
MR-35617,14-09-2024,ST-30,P-2,4
AL-47412,12-05-2022,ST-14,P-12,1
TH-0978,30-10-2023,ST-6,P-74,5
DN-006486,04-09-2024,ST-39,P-5,8
ER-3884,14-11-2020,ST-5,P-69,2
FD-70420,02-12-2021,ST-53,P-65,3
LZ-6724,31-08-2020,ST-14,P-7,6
QC-05721,23-05-2022,ST-12,P-52,3
EW-60938,28-02-2024,ST-54,P-4,9
DG-37026,18-09-2020,ST-22,P-88,4
VR-052422,18-01-2024,ST-46,P-16,2
NG-9036,17-08-2020,ST-35,P-35,9
TU-761452,03-07-2022,ST-58,P-64,6
LO-56035,26-04-2024,ST-29,P-21,4
ID-340085,17-04-2020,ST-14,P-79,4
FA-364259,18-05-2020,ST-36,P-57,8
UH-86440,16-02-2021,ST-64,P-71,4
QG-76452,23-10-2021,ST-60,P-85,6
KN-537353,12-11-2020,ST-43,P-2,4
NI-6360,28-01-2021,ST-60,P-11,9
DX-042343,28-03-2023,ST-35,P-31,2
LP-38696,10-08-2020,ST-58,P-4,5
CO-6440,26-04-2024,ST-55,P-2,7
JH-9044,22-01-2024,ST-48,P-16,2
CV-1733,06-10-2022,ST-10,P-78,7
SI-56494,21-06-2020,ST-17,P-74,5
UM-385853,06-03-2020,ST-55,P-22,7
GA-7602,04-01-2021,ST-49,P-78,7
OJ-16473,16-02-2020,ST-9,P-72,5
ID-742952,23-03-2021,ST-50,P-79,8
YY-010710,08-06-2024,ST-33,P-9,8
TO-74810,08-06-2022,ST-53,P-67,3
EF-902933,05-06-2021,ST-47,P-63,3
BE-058832,14-03-2020,ST-62,P-32,8
CH-418984,08-10-2024,ST-27,P-53,2
PO-3430,22-03-2020,ST-54,P-55,4
YB-82385,11-12-2021,ST-21,P-45,3
DO-43645,23-02-2020,ST-53,P-55,8
UG-1226,08-02-2020,ST-38,P-42,10
MR-81119,07-11-2020,ST-16,P-5,6
FC-739075,25-12-2021,ST-47,P-84,2
BT-2400,25-03-2021,ST-20,P-5,9
XG-192604,29-12-2020,ST-53,P-2,10
YN-67573,19-05-2023,ST-41,P-2,6
XS-7694,12-08-2023,ST-60,P-68,10
JL-847855,07-08-2024,ST-14,P-50,4
YN-7476,27-05-2021,ST-61,P-81,6
VV-365035,17-08-2022,ST-54,P-46,7
FO-036748,21-04-2024,ST-29,P-73,5
MP-3453,08-03-2020,ST-9,P-42,4
CE-73795,12-03-2020,ST-42,P-5,5
XB-49286,17-06-2020,ST-60,P-7,6
JV-8894,03-09-2023,ST-19,P-76,10
DS-71159,24-11-2023,ST-13,P-28,9
RK-4120,09-06-2022,ST-73,P-67,7
EB-74201,19-07-2023,ST-2,P-49,9
UT-4384,27-06-2021,ST-32,P-54,7
